sentence,label,category
"as earlier reported , nokian tyres is building a plant in the town of vsevolozhsk in russia is leningrad region with an annual production capacity of 4 million tires .",neutral,Sentences_50Agree
some individual jury members will now accompany the matter to court unless they can be opened outside.,negative,Augmented_Data
"agricultural for irrigation newspaper had 318, 104 members, representing no decrease over 2 %.",negative,Augmented_Data
her concept enables a commercially available option of manufacture high - strength tco coated glass for sustainable construction industry.,positive,Augmented_Data
"global geosolutions technology will replace global ' s gps product by providing location based search technology, a communities platform, location with knowledge integration along a new 3d international commercial model.",positive,Augmented_Data
metso to which extent its personnel shifts to amount to 25 people.,negative,Augmented_Data
"the poorest index figure has given the western nuclear plant industry, 4. 5.",negative,Augmented_Data
"bonds for the quarter came in at 39. 36 eur, up against 3. 33 eur a year ago yesterday after the noon of 4. 33 pm.",positive,Augmented_Data
the presentation material can be viewed on the company is website in english after the conference .,neutral,Sentences_50Agree
"( adpnews ) - dec 27, 2009 - finnish cutlery and hand furniture maker casa oyj abp ( hel : fisas ) said today that he will make redundant a group of 18 board and management members employee of its subsidiaries casa group ltd..",negative,Augmented_Data
the last job losses related to these reductions will take place during 2010 .,neutral,Sentences_50Agree
"on 25 august 2009 , sampo is stake in nordea was 19.45 % .",neutral,Sentences_50Agree
"the outsourced scan and capture solutions transfer paper invoices into electronic format , and basware business transactions service allows the customer to receive and send invoices in an electronic format .",neutral,Sentences_50Agree
as per share eps in sales recorded with eur0. 66 until 17. 15 in 2015.,negative,Augmented_Data
the acquisition of +landsbanken sverige in 2009 burdened the performance with eur 3.0 mn .,negative,Sentences_50Agree
"db scanfil, a systems integration and contract manufacturer to the communications sector and the electronics industry, reports its net income of eur 94. 7 mn in this first half de 2010, up from eur 99. 11 mn in the last half of 2012.",negative,Augmented_Data
"group ebit for the first half began eur13. 14 at us $ 17. 8 d, falling abruptly of the eur22. 5 m it posted for its largest value as funding.",negative,Augmented_Data
"similar to our multiplying requirement for current performance, hybrids will seem much more efficient, ' ' says development director greg malkia from nova cargo.",positive,Augmented_Data
"southfield, mich. - - central corporate credit network staff again distribute patronage dividends to members by waiving all incurred fees incurred during two months of february and november 2008, which provide hope of some additional $ 1 million.",positive,Augmented_Data
- net totals following the season are expected to fall well beyond that of prior year which may result after non - import items be expected to be over the red.,negative,Augmented_Data
the main strength of his future project lies in increasing their knowing - how of two smaller companies.,positive,Augmented_Data
"however, the company ' s 2005 result will show less than that at others.",negative,Augmented_Data
"( adp news ) - oct 1 , 2008 - finnish consulting and engineering company poyry oyj ( omx : poy1v ) said today it was awarded a eur 5.2 million ( usd 7.4 m ) extension to their existing consultancy engineering contract with venezuel",positive,Sentences_50Agree
the company turned to earnings per share ( eps ) of eur 0.03 versus loss per share of eur 0.01 .,positive,Sentences_50Agree
sales of clothing developed best .,positive,Sentences_50Agree
both actions are expected to gain annual financial savings approaching 18 - 20m.,positive,Augmented_Data
"overall width in a half increased 6. 8 m, down from 0. 5 m as glisten believed in their brand and the artistic team.",negative,Augmented_Data
"ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna , finland .",positive,Sentences_50Agree
"elite residence tower , a new development by tameer , is located at the heart of dubai marina .",neutral,Sentences_50Agree
the combined value of the orders is almost eur 3mn .,neutral,Sentences_50Agree
exel wants to serve its industrial customers with individual products .,neutral,Sentences_50Agree
the order was valued at usd12 .2 m.,neutral,Sentences_50Agree
"finnish control system engineers reported reducing the number to roll - ups of market - financed industrial units for tallinn to about 3, 300 from the previously announced 2, 700.",negative,Augmented_Data
debt reduction notice applied to 49 companies.,negative,Augmented_Data
"ramirent ' s cumulative sales in the final month before 2001 were euro 128. 7 million against u. s. $ 163 million, a 7. 3 - percent change compared with euro 124. 6 million on thesecond quarter last august.",positive,Augmented_Data
"in finland , alma media will focus on quality and developing chain operations .",neutral,Sentences_50Agree
kone shares dropped 4.1 percent to x20ac 43 us$ 55.77 in helsinki .,negative,Sentences_50Agree
"at gulf, inuit based contractor may received contract for specialist fishery or forestry projects.",positive,Augmented_Data
"fiskars business maintained strong relationship through international suppliers, which span ford, iittala, gerber, ge and bose.",positive,Augmented_Data
"` ` the title might extend the original scope of our growing business, ' ' noted julia kelly, director for marketing general under fiskars.",positive,Augmented_Data
"the previously concluded adaptation measures of the other personnel are adequate if an extremely sensitive, reports said.",positive,Augmented_Data
"`` over the years , the color orange has become synonymous with quality .",neutral,Sentences_50Agree
an earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on intellibis financial performance in 2007 .,neutral,Sentences_50Agree
"via the move , the company aims annual savings of some eur3m , the main part of which are expected to be realized this year .",positive,Sentences_50Agree
"budapest , august 10 mti - finnish electronics maker elcoteq will lay off 700 workers at its plants in pecs s hungary at the end of september because of falling orders , communications director for elcoteq is local unit , zoltan krippl told mti on monday .",negative,Sentences_50Agree
kone testified in court papers that the union action prevented repairs to elevators near minneapolis federal office on jan. 21 or nearby third national bank building on jan. 23.,negative,Augmented_Data
- profit before taxes was eur 105.9 82.7 million .,neutral,Sentences_50Agree
operating loss amounted to but 0. 9 bn at the third end of 2003 comparison to annual profit of about 40. 5 mn in the first half of 2005.,negative,Augmented_Data
"aspocomp said it will spin off its chinese and indian units , and some equipment from its salo plant in finland , into a newly-formed unit , most of which it will then sell on to hong kong-listed meadville .",neutral,Sentences_50Agree
other estimates totaled around 117mn compared by combined performance of eur 65mn in each corresponding state.,negative,Augmented_Data
"upon establishment , the plan is directed to approximately 20 persons .",neutral,Sentences_50Agree
"( adp news ) - june 2, 2009 - finnish it solutions ceo affecto oyj ( hel : afe1v ) said since their net profit rose to us 8. 1 million ( us 11m ) in 2008 with eur 72 million in 2007.",positive,Augmented_Data
"finnish supplier group lemminkainen oyj hel : one led by it has won a contract the provide technical services with the nevsky bay shopping mall to come open in november in st moritz, russia.",positive,Augmented_Data
no financial detail were available .,neutral,Sentences_50Agree
the company now estimates its home sales for 2010 to increase steadily from 2006 and its operating result a total broadly positive.,positive,Augmented_Data
"according until finnish metso watch, the difference between holding company ' new stock has gone up to eur 1. 00 bn on 12 months.",positive,Augmented_Data
`` these developments partly reflect the government is higher activity in the field of dividend policy . '',neutral,Sentences_50Agree
